t_offset_s,x_km,y_km,z_km,vx_kms,vy_kms,vz_kms
-1740.0,-1071.192251158204,5478.633810239589,-3962.4310584628943,-6.078613871100453,1.8582154660276902,4.2168753142935245
-1680.0,-1433.243713690569,5577.805627000454,-3700.731661800292,-5.985300242223217,1.4462633086226195,4.5032040156701045
-1620.0,-1788.890513934992,5652.05254105321,-3422.448595567833,-5.865200555639004,1.0276919192276963,4.769456831635639
-1560.0,-2136.540386672873,5701.03319363173,-3128.823103192257,-5.7188310341289235,0.6043661408214626,5.014425795386487
-1500.0,-2474.6356081602567,5724.518919489143,-2821.1661509042997,-5.5468265217526715,0.17817622935016153,5.236995703323987
-1440.0,-2801.6600503022973,5722.395020438106,-2500.8526919417363,-5.349938296573125,-0.248970560347241,5.436149716087178
-1380.0,-3116.1460857527063,5694.661527405169,-2169.315606132544,-5.129031287849476,-0.6751586043969422,5.610974573390468
-1320.0,-3416.6813079974922,5641.433439371754,-1828.039339493961,-4.885080690724116,-1.0984727107672683,5.76066537468316
-1260.0,-3701.915030266938,5562.940430430327,-1478.553271312003,-4.619167977901624,-1.517007040782227,5.884529878850126
-1200.0,-3970.5645272883885,5459.526019358182,-1122.4248389048682,-4.332476314866481,-1.928874095937375,5.981992278546295
-1140.0,-4221.420984510247,5331.646199552407,-761.2524528144025,-4.026285392583273,-2.332213710639939,6.052596408300417
-1080.0,-4453.355120474174,5179.86753082633,-396.65823748651644,-3.7019656991774608,-2.725201988470022,6.096008350148769
-1020.0,-4665.322449524191,5004.8646983648405,-30.28063449165013,-3.360972259548609,-3.106060117729366,6.112018406176394
-960.0,-4856.368153974835,4807.417548012603,336.23309301130695,-3.0048378790264096,-3.473063001444601,6.1005424137949245
-900.0,-5025.631537221786,4588.407610934888,701.234414636902,-2.6351659337888194,-3.82454763771284,6.061622386707029
-840.0,-5172.350032003387,4348.814134483777,1063.0811052203874,-2.253622756654072,-4.158921188269296,5.99542647209069
-780.0,-5295.862741083715,4089.709639733235,1420.1447942736922,-1.8619296718272358,-4.474668676406159,5.90224822236963
-720.0,-5395.613490955393,3812.2550295532074,1770.8184514963837,-1.4618547361024177,-4.770360259759955,5.782505187789485
-660.0,-5471.153382693543,3517.6942742073256,2113.5237679754046,-1.0552042467778264,-5.044658028886999,5.636736843668124
-600.0,-5522.142827759469,3207.348704223317,2446.718393743176,-0.6438140780649282,-5.29632228879278,5.465601873411696
-540.0,-5548.353060276918,2882.610942660442,2768.90299381034,-0.2295409080521204,-5.524217287465988,5.269874834985969
-480.0,-5549.667121013502,2544.9385108464526,3078.628086614025,0.18574660266676643,-5.727316362777629,5.0504422443251
-420.0,-5526.08031192087,2195.8471431612365,3374.500630969044,0.6001766216944792,-5.904706486604204,4.808298114002256
-360.0,-5477.7001235528705,1836.9038475007292,3655.190330019744,1.0118828890096316,-6.055592192485746,4.544538989268952
-300.0,-5404.745640931565,1469.7197486694918,3919.4356233007293,1.4190133428216434,-6.179298880306589,4.260358526224112
-240.0,-5307.54643641596,1095.9427521472244,4166.0493407559625,1.8197385800715,-6.275275498173895,3.957041658376152
-180.0,-5186.540960809466,717.2500654873832,4393.923995368783,2.212260109838489,-6.343096607676244,3.635958398232991
-120.0,-5042.274446292577,335.3406140784931,4602.036693854643,2.5948183635061013,-6.382463843874192,3.2985573198587663
-60.0,-4875.396336775346,-48.072612813634905,4789.453647599313,2.965700431210683,-6.393206785584492,2.9463587666795163
0.0,-4686.657262929844,-431.2702508441618,4955.334268634387,3.3232474996268957,-6.375283254692615,2.580947826342378
60.0,-4476.9055805017415,-812.534250549844,5098.934837881141,3.6658619713248846,-6.328779065330213,2.203967111308213
120.0,-4247.083491537037,-1190.1555360944938,5219.611735129622,3.9920142505827694,-6.253907244799835,1.8171093802764635
180.0,-3998.222768934539,-1562.4416017549902,5316.824222227203,4.3002491844934,-6.151006748176547,1.4221100317161752
240.0,-3731.440105291116,-1927.7240164153536,5390.1367727214765,4.589192151348987,-6.02054068766813,1.020739496917836
300.0,-3447.9321073988044,-2284.365807573241,5439.220942738541,4.8575547905382255,-5.8630940962108475,0.6147955562984945
360.0,-3148.969958038065,-2630.7686974822095,5463.8567791958385,5.10414036951034,-5.679371242589979,0.20609559938399957
420.0,-2835.8937669324023,-2965.3801650402993,5463.933762577324,5.327848783769367,-5.470192512788429,-0.20353115388897428
480.0,-2510.106633007877,-3286.700307798222,5439.451282473192,5.5276811853609065,-5.236490869537149,-0.6122514549299255
540.0,-2173.068440308862,-3593.288479192733,5390.51864495996,5.702744234135156,-4.979307899268258,-1.0182358370824371
600.0,-1826.2894104361385,-3883.769676454928,5317.35461171341,5.852253964096664,-4.699789453287626,-1.4196664210707461
660.0,-1471.3234347359269,-4156.840655139464,5220.286471553811,5.975539254889469,-4.39918088785142,-1.8147447010685733
720.0,-1109.7612103570984,-4411.2757462583,5099.74864602643,6.072044895704977,-4.078821906600073,-2.2016992955721237
780.0,-743.2232049146821,-4645.932352366269,4956.280831564576,6.141334226272966,-3.7401410080107746,-2.5787936454018334
840.0,-373.3524756884369,-4859.756098941413,4790.525681951836,6.183091336899179,-3.384649540936312,-2.94433363813285
900.0,-1.8073703604580458,-5051.785617674107,4603.226036114665,6.197122807274402,-3.0139353724462445,-3.296675134998826
960.0,369.7458623910603,-5221.156938553267,4395.221697832659,6.1833589620143,-2.6296561743954303,-3.6342313725520325
1020.0,739.640522754221,-5367.107468099259,4167.44577574207,6.141854619838918,-2.2335323382789833,-3.955480207459956
1080.0,1106.2169390045892,-5488.979531770685,3920.92059403671,6.072789313096578,-1.8273395319423067,-4.258971168948167
1140.0,1467.8299435937565,-5586.223459517891,3656.7531865304977,5.976466955090609,-1.4129009164873325,-4.543332279776873
1200.0,1822.8563123030626,-5658.400194713629,3376.130389210229,5.853314934448538,-0.9920790470904629,-4.8072766034791385
1260.0,2169.7021314846766,-5705.183408288671,3080.313549047215,5.703882618609773,-0.5667674872505525,-5.049608473078912
1320.0,2506.8100574496493,-5726.361101860194,2770.632869595894,5.528839252378129,-0.13888217199012465,-5.269229354831688
1380.0,2832.6664313592955,-5721.836685964739,2448.481416739651,5.328971242328274,0.28964743847087515,-5.465143299820984
1440.0,3145.808212596801,-5691.62952218858,2115.308810779216,5.105178823561938,0.7168873673053353,-5.636461936614721
1500.0,3444.8296935820285,-5635.874921002666,1772.6146338335784,4.858472111737355,1.1409082394005323,-5.782408959697305
1560.0,3728.3889593848285,-5554.823590419857,1421.9415841640457,4.589966550263951,1.5597944523048128,-5.902324071070536
