t_offset_s,x_km,y_km,z_km,vx_kms,vy_kms,vz_kms
-8760.0,5446.420760644681,-1529.1210424211383,-3854.1060248706094,-1.347072398630341,6.1272997119826345,-4.340391424357055
-8700.0,5353.489412501816,-1158.3417540603805,-4105.700306846941,-1.749467183323858,6.227432860519441,-4.042978171685649
-8640.0,5236.644523361179,-782.3881707917434,-4338.903048896824,-2.1438972091914597,6.299716120412794,-3.7275694510253703
-8580.0,5096.416661998312,-402.94093223183506,-4552.676765573063,-2.5286135627761777,6.34384843539241,-3.395585723836024
-8520.0,4933.439970048013,-21.69500191294413,-4746.071339221249,-2.901913899610482,6.359653475587185,-3.0485176786418986
-8460.0,4748.449155098955,359.6478204601224,-4918.228030427439,-3.2621494857986297,6.347079694197632,-2.6879194238234665
-8400.0,4542.2760711204455,739.3863751181468,-5068.383075494902,-3.607731911278417,6.306199884756987,-2.315401536026417
-8340.0,4315.8459061585845,1115.827577521916,-5195.870863261409,-3.9371394672530964,6.237210265359404,-1.9326239961055192
-8280.0,4070.172997568206,1487.2937852141706,-5300.126685348379,-4.248923184291545,6.140429115473015,-1.5412890399268908
-8220.0,3806.3562951519752,1852.1300700990887,-5380.689055444874,-4.541712530715118,6.016294989270199,-1.1431339467584423
-8160.0,3525.5744925371864,2208.711371373833,-5437.201594461729,-4.814220773009935,5.865364526945037,-0.7399237836330541
-8100.0,3229.0808469681115,2555.4495055503444,-5469.414479379221,-5.065250001130164,5.688309882414634,-0.3334441201214024
-8040.0,2918.1977075412215,2890.800010975008,-5477.185454370608,-5.293695821643889,5.485915782338349,0.07450627534549037
-7980.0,2594.3107716735144,3213.268805136223,-5460.480403373298,-5.4985517208988295,5.259076227660088,0.4821227491689602
-7920.0,2258.8630896699337,3521.4186334446185,-5419.373483718196,-5.6789130985605105,5.008790845310702,0.8876020793894595
-7860.0,1913.3488371092392,3813.875288742064,-5354.046820811209,-5.833980969591419,4.7361608941498865,1.2891497897773418
-7800.0,1559.3068751681617,4089.333580755512,-5264.789764210373,-5.963065329592565,4.442384926346657,1.6849874549813226
-7740.0,1198.3141192470669,4346.563034868658,-5151.997705822329,-6.065588175123587,4.1287541028918415,2.073359989604861
-7680.0,831.9787370207973,4584.413299329462,-5016.170461446832,-6.141086166941351,3.7966471604250707,2.452542911895456
-7620.0,461.9331977697602,4801.819239905134,-4857.910217516582,-6.1892129205611415,3.4475250257588024,2.82084957002169
-7560.0,89.82719594016159,4997.805700739163,-4677.919045716458,-6.20974090515584,3.082925074784535,3.176638315327474
-7500.0,-282.6795269018143,5171.491910011646,-4476.995989223044,-6.202562928879064,2.7044550337291238,3.518319602909052
-7440.0,-653.9244361678354,5322.095508945009,-4256.033725622692,-6.167693186374688,2.3137865230594348,3.844362995441486
-7380.0,-1022.2495073415595,5448.9361828091505,-4016.0148131549913,-6.105267842692627,1.9126482476571818,4.15330404160959
-7320.0,-1386.0085494484788,5551.438872920023,-3758.007528791805,-6.015545127204134,1.502818841121649,4.443750995980921
-7260.0,-1743.5745187101463,5629.1365492439745,-3483.1613087883443,-5.898904911501862,1.0861193770854007,4.7143913429083595
-7200.0,-2093.3467906782976,5681.672524160846,-3192.7018047096303,-5.755847746743015,0.6644055660891691,4.963998083272868
-7140.0,-2433.758357752853,5708.8022892334475,-2887.925570507105,-5.5869933384703945,0.239559662672262,5.191435739765867
-7080.0,-2763.282917783881,5710.39485850102,-2570.194398951093,-5.393078440604302,-0.1865178863155432,5.395666034135387
-7020.0,-3080.441818502187,5686.433603866113,-2240.929328559609,-5.174954154975262,-0.6119170148069025,5.5757531885231675
-6960.0,-3383.8108218752195,5637.016570573062,-1901.604345041223,-4.933582628358465,-1.034726788485248,5.730868802808888
-6900.0,-3672.026652192959,5562.356263560893,-1553.7398041221716,-4.670033145335681,-1.4530442843803872,5.860296260821973
-6840.0,-3943.7932917942007,5462.778898582229,-1198.8956053861943,-4.385477622275572,-1.8649835447763004,5.963434620408528
-6780.0,-4197.887988876833,5338.723115366519,-838.6641493502805,-4.081185515090757,-2.2686845468956265,6.039801945635793
-6720.0,-4433.166942814094,5190.7381537155115,-474.6631123634502,-3.758518160982585,-2.6623221266180503,6.089038043820587
-6660.0,-4648.570633827174,5019.481497186311,-108.52807598659955,-3.4189225818950773,-3.0441147924285046,6.11090657548263
-6600.0,-4843.1287657343655,4825.715992871072,258.0949507663527,-3.0639247846393523,-3.412333364969392,6.105296511612362
-6540.0,-5015.964792786463,4610.306459647614,623.5570766183139,-2.6951225993965635,-3.7653093780379363,6.072222919635733
-6480.0,-5166.300004272201,4374.21580107347,986.2141000464056,-2.314178104355021,-4.101443178630959,6.011827066961973
-6420.0,-5293.457143589794,4118.50064275426,1344.434067080127,-1.9228096894050715,-4.419211666649448,5.924375838798492
-6360.0,-5396.863541777321,3844.3065174566186,1696.6047738638028,-1.5227838159425446,-4.7171756190577705,5.8102604747852284
-6300.0,-5476.053749004204,3552.862624403713,2041.1411734494714,-1.1159065328226205,-4.993986548500933,5.669994636713033
-6240.0,-5530.67165118864,3245.476192009809,2376.4926472362404,-0.7040148102557533,-5.248393052481999,5.504211826920941
-6180.0,-5560.472062634785,2923.5264757588134,2701.1501028257817,-0.28896775395528035,-5.479246615963472,5.313662183717064
-6120.0,-5565.321789315646,2588.4584249452896,3013.6528618209118,0.12736223889501339,-5.685506837499117,5.099208686142548
-6060.0,-5545.200161080036,2241.77605358652,3312.5953031668128,0.5430983221796033,-5.86624605646278,4.861822805458191
-6000.0,-5500.19903457364,1885.0355519375753,3596.63323000375,0.9563679852142164,-6.020653366414105,4.602579644744044
-5940.0,-5430.522271968297,1519.8381757416278,3864.4899305640306,1.3653117261504117,-6.148038006868153,4.322652610906909
