t_offset_s,x_km,y_km,z_km,vx_kms,vy_kms,vz_kms
-8760.0,3730.5094673229396,-1758.7160968771154,-5461.032388334094,3.7683289852257347,6.614411144828086,0.444333979134869
-8700.0,3948.1178946302953,-1358.2239717031464,-5422.174402709502,3.4826011162583246,6.730394872189387,0.850454236418308
-8640.0,4148.10918690276,-951.6712641749383,-5359.053261723138,3.181305380385328,6.816355926409495,1.2528071893077322
-8580.0,4329.5887845251045,-540.8715930784205,-5271.948625908291,2.8657697260761705,6.871907387497723,1.649608641999011
-8520.0,4491.743718581707,-127.6578532708808,-5161.246565766829,2.5373849976843315,6.896793900145253,2.039097028645022
-8460.0,4633.846220084299,286.1257225877866,-5027.437984990111,2.1975994135894537,6.89089307521775,2.419540707576125
-8400.0,4755.256990298481,698.6315730431752,-4871.1166069628325,1.8479127922190264,6.854216443408229,2.789245221125189
-8340.0,4855.428117084239,1108.016860141962,-4692.976527043617,1.4898705271308235,6.786909941727774,3.146560505691838
-8280.0,4933.905622289673,1512.4515363192975,-4493.809334161848,1.1250573142690563,6.689253910891324,3.489888032604343
-8220.0,4990.331625502523,1910.1263958088286,-4274.500806573923,0.7550906373033042,6.561662579880498,3.817687855887327
-8160.0,5024.446109920863,2299.2610790565495,-4036.0271882017423,0.3816140205446787,6.404683013189742,4.128485538417208
-8100.0,5036.088276796558,2678.1119971606195,-3779.4510538324776,0.006290063194317247,6.218993496603732,4.4208789233594485
-8040.0,5025.197475869711,3044.980141956148,-3505.9167735846995,-0.3692067265232755,6.005401338885752,4.6935447134434085
-7980.0,4991.813700476479,3398.218746091417,-3216.645589417175,-0.7431972736248392,5.764840069507559,4.945244816754259
-7920.0,4936.077637593402,3736.2407563722263,-2912.930319038897,-1.1140054259682495,5.498366016498186,5.1748324145024265
-7860.0,4858.230264983457,4057.52608284956,-2596.129705328748,-1.4799655567932872,5.207154253567273,5.381257703842128
-7800.0,4758.611989825494,4360.6285856624245,-2267.66243223156,-1.8394302406998857,4.892493911749728,5.563573267402838
-7740.0,4637.661325720463,4644.182761571224,-1929.0008310070968,-2.1907779588661453,4.5557828577715815,5.720939020878418
-7680.0,4495.913107743695,4906.910092477907,-1581.6643035980594,-2.5324207852224254,4.198521748957121,5.852626690866207
-7620.0,4333.996248211317,5147.625019057494,-1227.212492684911,-2.8628120019862076,3.8223074825653853,5.9580237771920235
-7560.0,4152.631038999178,5365.240503941805,-867.2382306377929,-3.180453590570388,3.428826065717865,6.03663695718635
-7500.0,3952.626009535817,5558.773150706065,-503.36030198965614,-3.4839035425187657,3.019844940303096,6.088094893736784
-7440.0,3734.8743529235435,5727.3478471995595,-137.2160561797459,-3.7717829348707643,2.597204805165547,6.112150414334708
-7380.0,3500.3499359541943,5870.201904511997,229.54609090938834,-4.042782715255509,2.1628109852504482,6.108682034626265
-7320.0,3250.1029120116837,5986.6886660343,595.2742267181001,-4.295670144055875,1.71862440395666,6.0776948069993315
-7260.0,2985.2549589239024,6076.28056460667,958.3205422298372,-4.529294844124822,1.2666522205368382,6.019320482294222
-7200.0,2706.9941666780815,6138.571609583607,1317.0489213097576,-4.7425944126957225,0.8089381988056067,5.933816980600336
-7140.0,2416.5696024897957,6173.279289712175,1669.8424778110711,-4.934599555184946,0.3475528765421802,5.821567175066024
-7080.0,2115.285582966642,6180.245881936787,2015.1109995546742,-5.104438706387932,-0.115416393282484,5.683077000474192
-7020.0,1804.4956849933983,6159.439160528066,2351.2982592017825,-5.251342110941643,-0.5778754579988322,5.518972905795989
-6960.0,1485.5965284585752,6110.952505199475,2676.88915338342,-5.3746453416700195,-1.037733367073682,5.329998676819122
-6900.0,1160.0213650249057,6035.004411042035,2990.4166331884353,-5.4737922413371125,-1.4929122923242657,5.117011661066808
-6840.0,829.2335078160555,5931.937407095425,3290.468391191594,-5.54833728019327,-1.9413573021867783,4.880978432420826
-6780.0,494.7196371563303,5802.216394114436,3575.6932725692454,-5.597947328307588,-2.381045930420635,4.62296993701463
-6720.0,157.98301737863494,5646.42641552206,3844.8073804386236,-5.622402847842049,-2.8099974852108343,4.3441561649879805
-6660.0,-179.4633407567822,5465.269878618082,4096.599848296211,-5.621598515966966,-3.2262820508597487,4.045800394557793
-6600.0,-516.1035382778443,5259.5632458002765,4329.938255255518,-5.595543293900453,-3.6280291409006313,3.7292530555656898
-6540.0,-850.425634145713,5030.233217835984,4543.773662622778,-5.544359961465264,-4.013435968260766,3.3959452592660724
-6480.0,-1180.9284478836894,4778.312433092699,4737.145253136689,-5.468284139521626,-4.380775304802042,3.047382039714324
-6420.0,-1506.1282886575677,4504.93470810619,4909.18455687878,-5.367662824622071,-4.728402908934911,2.6851353498328927
-6360.0,-1824.565582276845,4211.329845965476,5059.119250380305,-5.242952461252469,-5.054764505809848,2.310836852245908
-6300.0,-2134.8113691281164,3898.8180397576334,5186.276517775968,-5.094716577121253,-5.358402309661671,1.926170541462211
-6240.0,-2435.4736475715026,3568.803898799396,5290.085964952047,-4.923623006224838,-5.637961082054182,1.5328652301692287
-6180.0,-2725.2035387887954,3222.7701256377245,5370.082079496865,-4.730440722971383,-5.89219372294926,1.1326869284822538
-6120.0,-3002.7012504187237,2862.2708719024504,5425.906230880878,-4.516036308642449,-6.119966393637505,0.7274311412015281
-6060.0,-3266.7218175568096,2488.924801059399,5457.308206691434,-4.281370069057577,-6.320263171640499,0.3189151046130831
-6000.0,-3516.0806006768944,2104.407886194091,5464.147281925679,-4.0274918197803355,-6.4921902376599006,-0.09103001848181463
-5940.0,-3749.6585211010542,1710.4459707280896,5446.392819397726,-3.755536352461346,-6.63497959388433,-0.5005669693943259
-5880.0,-3966.407015182605,1308.807120335747,5404.1244001885425,-3.4667185936643294,-6.747992311111571,-0.9078602349484577
-5820.0,-4165.352689158771,901.293794275942,5337.531483923687,-3.162328465292371,-6.830721299978225,-1.3110838857454803
-5760.0,-4345.601656995596,489.7348649131046,5246.912599477379,-2.8437254543116626,-6.8827935987780675,-1.7084293969769704
-5700.0,-4506.343544053011,75.97751459425828,5132.674067554001,-2.5123328984716293,-6.903972167495191,-2.0981134365485
-5640.0,-4646.8551397235615,-338.1209601299065,4995.328257557756,-2.1696319946468203,-6.894157174780011,-2.4783856032718203
-5580.0,-4766.503682624168,-750.7014061143802,4835.491382250951,-1.81715553706074,-6.85338676202686,-2.8475360953094473
-5520.0,-4864.749762372938,-1159.9111011824245,4653.880834980423,-1.4564813941760397,-6.781837266624431,-3.2039032858192646
-5460.0,-4941.1498225639725,-1563.9120386292482,4451.312075741596,-1.0892257353659023,-6.679822885074781,-3.5458811791097897
-5400.0,-4995.358250296047,-1960.889174453543,4228.69507407568,-0.717036021583481,-6.547794756178864,-3.871926716739369
-5340.0,-5027.129038565876,-2349.05860191079,3987.0303187598856,-0.34158377801103146,-6.386339445002403,-4.18056689909768
-5280.0,-5036.317009036615,-2726.675616850371,3727.4044064509067,0.03544282902284715,-6.196176809957189,-4.470405684299904
-5220.0,-5022.87858416841,-3092.0426363076053,3450.98522385453,0.4123465838905205,-5.978157238100136,-4.7401306229246
-5160.0,-4986.872099465202,-3443.5169320312375,3159.016740590805,0.7874289504318948,-5.733258237660725,-4.988519184428933
-5100.0,-4928.457648657511,-3779.5181401136083,2852.813432655695,1.1589979009244387,-5.462580381794596,-5.214444729167376
-5040.0,-4847.8964569968,-4098.53550770738,2533.7543591978365,1.5253758038725391,-5.167342603523442,-5.416882078967269
-4980.0,-4745.549780464334,-4399.134838019577,2203.276918167109,1.8849073249734,-4.848876848604828,-5.594912639299096
-4920.0,-4621.877331564291,-4679.965095409297,1862.8703091862021,2.235967291953629,-4.508622100492269,-5.747729027293972
-4860.0,-4477.43523543556,-4939.764633511976,1514.0687346763127,2.5769684710761687,-4.14811779937436,-5.874639162240508
-4800.0,-4312.873523226045,-5177.367010887597,1158.4443727629603,2.906369201137225,-3.7689966852780774,-5.975069778725203
-4740.0,-4128.933172970185,-5391.706360739151,797.6001577359723,3.222680829814325,-3.3729771031366975,-6.048569327206027
-4680.0,-3926.442711527038,-5581.822283765249,433.16240576889953,3.524474897374322,-2.9618548152913324,-6.094810232431193
-4620.0,-3706.314394406926,-5746.864236159841,66.77332517157913,3.810390014030376,-2.5374943738774483,-6.113590486591844
-4560.0,-3469.539983470362,-5886.095388114844,-299.9165483936592,4.079138379647955,-2.1018201117090283,-6.104834561258304
-4500.0,-3217.186145456872,-5998.89593186052,-665.2559505889242,4.329511897992574,-1.6568068154117237,-6.068593629794845
-4440.0,-2950.3894970320885,-6084.765822227683,-1027.600479579689,4.560387842198056,-1.2044701485052243,-6.005045099859583
-4380.0,-2670.3513244730893,-6143.326936860226,-1385.320138550195,4.770734033490417,-0.7468568947674122,-5.914491463545489
-4320.0,-2378.332008199557,-6174.324647464855,-1736.806789081299,4.959613501271972,-0.28603509345255773,-5.797358480475172
