t_offset_s,distance_sq_km2,distance_km
-300.0,4894311.267842218,2212.309035338919
-290.0,4584926.655904192,2141.244184091154
-280.0,4284535.709123014,2069.9120051642326
-270.0,3993288.495719297,1998.3214195217188
-260.0,3711330.439625609,1926.4813623872953
-250.0,3438802.3609474087,1854.4008091422438
-240.0,3175840.350097905,1782.0887604431787
-230.0,2922575.7325701863,1709.554249671588
-220.0,2679134.976699204,1636.8063345121818
-210.0,2445639.6711611114,1563.8541080168288
-200.0,2222206.410725165,1490.7066816530894
-190.0,2008946.7827530964,1417.3731981214744
-180.0,1805967.267896222,1343.8628158767629
-170.0,1613369.240498444,1270.184726919059
-160.0,1431248.8641771036,1196.348136696465
-150.0,1259697.1093132359,1122.3622896877976
-140.0,1098799.6198917371,1048.2364332018503
-130.0,948636.7626362066,973.9798574078452
-120.0,809283.5037207655,899.601858446705
-110.0,680809.4411202515,825.1117749252228
-100.0,563278.721714871,750.5189682578789
-90.0,456750.04901816824,675.8328558291379
-80.0,361276.6068605995,601.062897591092
-70.0,276906.07875276566,526.2186605896504
-60.0,203680.58722367563,451.30985721971064
-50.0,141636.70082158365,376.34651695157703
-40.0,90805.40062951614,301.3393446424083
-30.0,51212.073345329816,226.3008469832356
-20.0,22876.486700198693,151.24974942193688
-10.0,5812.791554453699,76.24166547534031
0.0,29.507124146010256,5.432046036808806
10.0,5529.522130403619,74.36075665566898
20.0,22310.091562928385,149.36563046072007
30.0,50362.83376148114,224.41665214836698
40.0,89673.74278813894,299.45574428976806
50.0,140223.1849933326,374.46386340117334
60.0,201985.92145144692,449.4284386322776
70.0,274931.11279163323,524.3387385952265
80.0,359022.3335842714,599.1847240912199
90.0,454217.58543213306,673.9566643576819
100.0,560469.3365635895,748.6450003597096
110.0,677724.526380517,823.2402604225069
120.0,805924.5971119015,897.7330322049543
130.0,945005.547079257,972.1139578666983
140.0,1094897.9167676717,1046.3736984307623
150.0,1255526.8418963423,1120.5029414938376
160.0,1426812.112357181,1194.4924078273502
170.0,1608668.195095779,1268.332840817338
180.0,1801004.268581464,1342.015003113402
190.0,2003724.3040818095,1415.5296902862226
200.0,2216727.0507145533,1488.8677075934427
210.0,2439906.1283866735,1562.0198873211166
220.0,2673150.0828791205,1634.9770894049618
230.0,2916342.4379262077,1707.7302005662978
240.0,3169361.7338112188,1780.270129449803
250.0,3432081.6437430065,1852.5878234898896
260.0,3704370.9303532685,1924.6742400607093
270.0,3986093.6005833484,1996.520373195162
280.0,4277108.960273396,2068.1172501271285
290.0,4577271.676327994,2139.455929980329
300.0,4886431.8225884335,2210.5274987179946
