t_offset_s,distance_sq_km2,distance_km,below_threshold
-300.0,4894279.75905837,2212.3019140836927,0
-290.0,4584897.130519019,2141.2372896339675,0
-280.0,4284508.136620305,2069.905344845581,0
-270.0,3993262.7945985016,1998.314988833968,0
-260.0,3711306.5540613336,1926.475163105233,0
-250.0,3438780.224457019,1854.3948404956855,0
-240.0,3175819.9048608057,1782.0830241211563,0
-230.0,2922556.9161134744,1709.5487463402364,0
-220.0,2679117.7353460137,1636.8010677373147,0
-210.0,2445623.932921193,1563.84907613273,0
-200.0,2222192.111824701,1490.701885631296,0
-190.0,2008933.8495348813,1417.368635724271,0
-180.0,1805955.642399914,1343.8584904668774,0
-170.0,1613358.8525501054,1270.1806377638204,0
-160.0,1431239.6573697492,1196.3442888106038,0
-150.0,1259689.001557005,1122.358677766161,0
-140.0,1098792.551791713,1048.2330617719101,0
-130.0,948630.6540352618,973.9767215058386,0
-120.0,809278.2934832324,899.5989625845688,0
-110.0,680805.0571905028,825.1091183537501,0
-100.0,563275.0993869094,750.5165550385344,0
-90.0,456747.10950125055,675.8306810890214,0
-80.0,361274.2829085676,601.0609643859494,0
-70.0,276904.29441551014,526.2169651536428,0
-60.0,203679.27449673944,451.30840286520197,0
-50.0,141635.7882940485,376.3453045994443,0
-40.0,90804.81738853967,301.338376893053,0
-30.0,51211.744354846145,226.30012009463482,0
-20.0,22876.3401049481,151.24926480795898,0
-10.0,5812.754027847306,76.24141937193527,0
0.0,29.506929948020797,5.432028161563671,1
10.0,5529.486779606741,74.36051895735224,0
20.0,22309.947258069646,149.36514740082322,0
30.0,50362.509117265705,224.41592884032477,0
40.0,89673.16434407824,299.454778462589,0
50.0,140222.28312891768,374.46265919169787,0
60.0,201984.6236352225,449.42699477804234,0
70.0,274929.3445651346,524.3370524434971,0
80.0,359020.0205150038,599.182793907672,0
90.0,454214.66011354735,673.954494097003,0
100.0,560465.7269334636,748.6425895802773,0
110.0,677720.1631663627,823.2376103934773,0
120.0,805919.4160493632,897.730146563745,0
130.0,944999.4670305976,972.1108306312597,0
140.0,1094890.863658356,1046.370328162241,0
150.0,1255518.754180042,1120.499332521016,0
160.0,1426802.9248321804,1194.4885620348905,0
170.0,1608657.8398040165,1268.3287585653873,0
180.0,1800992.6838548896,1342.0106869376598,0
190.0,2003711.4075646875,1415.5251349109585,0
200.0,2216712.775193774,1488.8629134993505,0
210.0,2439890.4151316513,1562.014857525898,0
220.0,2673132.8729067985,1634.9718263342638,0
230.0,2916323.666732905,1707.7247046092953,0
240.0,3169341.3455639444,1780.2644032738351,0
250.0,3432059.5496299574,1852.581860439629,0
260.0,3704347.0734213367,1924.66804239623,0
270.0,3986067.9310954763,1996.5139446283556,0
280.0,4277081.424268699,2068.1105928524953,0
290.0,4577242.212162527,2139.449044067778,0
300.0,4886400.384069065,2210.520387616695,0
